Article Title,Article Content,Date,Location,Author
12 injured in Birgunj in a clash over food relief,"At least 12 people were injured on Wednesday when a clash broke out among the locals of Bindabasini village in Birgunj over who should be included in the government’s Covid-19 food relief programme.The local government officials had reached the village to collect the names of the families who need food support as the country is under a lockdown to stop the Covid-19 outbreak.The Birgunj Metropolitan City has announced a food relief worth Rs 125,000 for the poor families living in Ward 19. Before distributing the relief, the city office had mobilised its officials to Bindabasini village to collect the names of the recipient families. “Two committees were formed on Tuesday to identify the recipients. The committee members were collecting names and details of the recipient families in the village when two groups of locals started arguing. Soon they came to blows in front of the committee members,” Santosh Tiwari, the ward chairman, said.Police have detained five persons involved in the clash.The injured villagers were taken to Narayani Hospital, many of them with head injuries and fractured limbs.Meanwhile, the local representatives of Chandrapur Municipality in Rautahat faced difficulty while distributing relief materials, as some people from the well-to-do families also demanded relief handouts. “Many poor families are struggling to manage two square meals since they are out of work. But some people who have enough to survive have also come forward claiming relief,” Sanjaya Kafle, chairman of Chandrapur Ward 5, said. There have also been complaints about local political leaders and senior government officials exerting pressure on the local representatives to include the names of their friends and relatives on the relief beneficiary list. Kafle said the municipal office was providing food relief to the poor and vulnerable people in all 10 wards. Each family will get rice, lentils, potatoes, salt and cooking oil depending on the number of the family members during the lockdown period.","Published at : April 1, 2020",Birgunj/gaur,Bhusan Yadav						 &
Province 2 government to take strong action against private health institutions that refuse treatment to patients,"The Province 2 government has instructed the chief district officers of all eight districts to abrogate the license of private hospitals and nursing homes that refuse treatment to patients.Chief Minister Mohammad Lal Babu Raut held a meeting on Tuesday which was attended by high-level officials from security agencies and administrations of all the districts of the province. The meeting decided to take the step effective immediately following complaints from various quarters of private hospitals and nursing homes refusing to provide their services to patients seeking medical attention. Based on the decision of the meeting, secretary at Ministry of Internal Affairs and Law Krishna Hari Pushkar on Wednesday sent a letter to the chief district officers of all eight districts with instructions to abrogate the license of the private hospitals found reluctant in providing treatment to the patients during this critical time.“Take initiatives to scrape the license of private hospitals and nursing homes that fail to provide basic health services; of those returning patients without carrying out health checks, and found misbehaving with patients,” reads the letter. On Tuesday, the Supreme Court issued an order to the government to make necessary arrangements for the treatment of Covid-19 patients at private hospitals and medical facilities. The Apex court issued the order amid reports of private hospitals and medical facilities refusing to treat patients showing Covid-19-like symptoms. A single bench of justice Manoj Kumar Sharma, hearing the writ petition filed by advocates Pushpa Raj Poudel and Saroj Krishna Ghimire, issued the order stating that private medical institutions must act responsibly and ensure the citizens’ right to healthcare and direct their efforts at treating Covid-19 patients.During Tuesday's meeting, Raut urged the chief district officers to identify the private health institutions that refuse treatment to patients and submit the name list to the provincial government.“We will take strong action against any institutions that receive facilities from the government but do not work when the country is in crisis. You (CDO) identify those institutions and recommend the government for action,” said Raut while addressing the meeting.Meanwhile, the provincial government decided to take strong measures to implement the lockdown effectively. DIG Pradhumna Karki at the provincial police office said police chiefs of all the districts were instructed to take action against those defying the lockdown order. “We have stopped the inter-provincial movement from today (Wednesday) to control the spread of the Covid-19,” he said.  Frequently asked questions about the coronavirus outbreakUPDATED as of September 22, 2020What is Covid-19?Covid-19, short for coronavirus disease, is an illness caused by the coronavirus SARS-CoV-2, short for severe acute respiratory syndrome coronavirus 2. Common symptoms of the disease include fever, dry cough, fatigue, shortness of breath and breathing difficulties. In severe cases, the infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death. How contagious is Covid-19?Covid-19 can spread easily from person to person, especially in enclosed spaces. The virus can travel through the air in respiratory droplets produced when a sick person breathes, talks, coughs or sneezes. As the virus can also survive on plastic and steel surfaces for up to 72 hours and on cardboard for up to 24 hours, any contact with such surfaces can also spread the virus. Symptoms take between two to 14 days to appear, during which time the carrier is believed to be contagious.Where did the virus come from?The virus was first identified in Wuhan, China in late December. The coronavirus is a large family of viruses that is responsible for everything from the common cold to Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). After an initial outbreak in Wuhan that spread across Hubei province, eventually infecting over 80,000 and killing more than 3,000, new infection rates in mainland China have dropped. However, the disease has since spread across the world at an alarming rate.   What is the current status of Covid-19?The World Health Organisation has called the ongoing outbreak a “pandemic” and urged countries across the world to take precautionary measures. Covid-19 has spread to 213 countries and territories around the world and infected more than 31,405,983 people with 967,505 deaths and 22,990,260 recoveries. In South Asia, India has reported the highest number of infections at 5,557,573 with 88,943 deaths. While Pakistan has reported 306,304 confirmed cases with 6,420 deaths. Nepal has so far reported 65,276 cases with 427 deaths.How dangerous is the disease?The mortality rate for Covid-19 is estimated to be 3.6 percent, but new studies have put the rate slightly higher at 5.7 percent. Although Covid-19 is not too dangerous to young healthy people, older individuals and those with immune-compromised systems are at greater risk of death. People with chronic medical conditions like heart disease, diabetes and lung disease, or those who’ve recently undergone serious medical procedures, are also at risk. How do I keep myself safe?The WHO advises that the most important thing you can do is wash your hands frequently with soap and water for at least 20 seconds or use hand sanitizers with at least 60 percent alcohol content. Avoid touching your eyes, nose and mouth with unclean hands. Clean and disinfect frequently used surfaces like your computers and phones. Avoid large crowds of people. Seek medical attention if symptoms persist for longer than a few days.Is it time to panic?No. The government has imposed a lockdown to limit the spread of the virus. There is no need to begin stockpiling food, cooking gas or hand sanitizers. However, it is always prudent to take sensible precautions like the ones identified above.","Published at : April 1, 2020",Janakpur,Ajit Tiwari
Province 2 comes up with relief package for affected people,"The Province 2 government’s relief package for the families affected by the lockdown enforced in the wake of the global Covid-19 outbreak will exclude government officials and any salaried employees as the aid is meant only for the poor, farmers and daily wage workers.The guidelines for relief materials distribution and monitoring for affected groups, endorsed by the provincial government on Tuesday, say the relief will not cover families having any members employed by the government and in the state apparatus, and those who run a business or receive salary or pensions from the government or non-government organisations.“The relief package has been brought only to provide respite for workers—having no income source other than daily wages, the poor and financially marginalised farmers,” Shailendra Prasad Shah, the Province 2 minister for land management, agriculture and cooperatives, told the Post. “Some people who have no jobs are just unemployed; they will also get relief materials.” A committee, under the coordination of the ward chairperson, will lead relief distribution at the local level. The committee, which is also mandated to identify groups that are most vulnerable to the ongoing lockdown, consists of the representatives from nationally-recognised political parties, the Nepal Army, Armed Police Force, Nepal Police, and the ward office secretary, ward chairperson and principal of a ward level school. For executing the relief plan that the Province 2 government rolled out on Monday, local councils have received funds from the provincial government. The Janakpur administration had decided to provide Rs 2.5 million for a metropolitan city, Rs 2 million for a sub-metropolitan city, Rs 1.5 million for a municipality and Rs 1 million for a rural municipality to aid vulnerable families in their areas during the lockdown.“The size of the package and the food items included will be decided by the local level committee, to be funded with the given budget,” said Shah. According to the guidelines, relief materials can be both food or cash, as decided by the local committee. In order to feed the poor and the vulnerable in the crisis period, the committee will prepare two types of packages—one for families of four and the other for families having more members.The suggested safety precautions require at least three feet of physical distance between the distributor and a recipient of relief. As per the guidelines, the relief distribution site should have soap, water and sanitiser and families should wash their hands before and after receiving the package.The Provine 2 government has announced that implementation of the drive will be strictly monitored. Provincial assembly members have been tasked with on-site monitoring of relief distribution in their constituency.“We have experienced glitches during relief distribution in the past. We will make sure they don’t repeat,” said Shah. Frequently asked questions about the coronavirus outbreakUPDATED as of September 22, 2020What is Covid-19?Covid-19, short for coronavirus disease, is an illness caused by the coronavirus SARS-CoV-2, short for severe acute respiratory syndrome coronavirus 2. Common symptoms of the disease include fever, dry cough, fatigue, shortness of breath and breathing difficulties. In severe cases, the infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death. How contagious is Covid-19?Covid-19 can spread easily from person to person, especially in enclosed spaces. The virus can travel through the air in respiratory droplets produced when a sick person breathes, talks, coughs or sneezes. As the virus can also survive on plastic and steel surfaces for up to 72 hours and on cardboard for up to 24 hours, any contact with such surfaces can also spread the virus. Symptoms take between two to 14 days to appear, during which time the carrier is believed to be contagious.Where did the virus come from?The virus was first identified in Wuhan, China in late December. The coronavirus is a large family of viruses that is responsible for everything from the common cold to Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). After an initial outbreak in Wuhan that spread across Hubei province, eventually infecting over 80,000 and killing more than 3,000, new infection rates in mainland China have dropped. However, the disease has since spread across the world at an alarming rate.   What is the current status of Covid-19?The World Health Organisation has called the ongoing outbreak a “pandemic” and urged countries across the world to take precautionary measures. Covid-19 has spread to 213 countries and territories around the world and infected more than 31,405,983 people with 967,505 deaths and 22,990,260 recoveries. In South Asia, India has reported the highest number of infections at 5,557,573 with 88,943 deaths. While Pakistan has reported 306,304 confirmed cases with 6,420 deaths. Nepal has so far reported 65,276 cases with 427 deaths.How dangerous is the disease?The mortality rate for Covid-19 is estimated to be 3.6 percent, but new studies have put the rate slightly higher at 5.7 percent. Although Covid-19 is not too dangerous to young healthy people, older individuals and those with immune-compromised systems are at greater risk of death. People with chronic medical conditions like heart disease, diabetes and lung disease, or those who’ve recently undergone serious medical procedures, are also at risk. How do I keep myself safe?The WHO advises that the most important thing you can do is wash your hands frequently with soap and water for at least 20 seconds or use hand sanitizers with at least 60 percent alcohol content. Avoid touching your eyes, nose and mouth with unclean hands. Clean and disinfect frequently used surfaces like your computers and phones. Avoid large crowds of people. Seek medical attention if symptoms persist for longer than a few days.Is it time to panic?No. The government has imposed a lockdown to limit the spread of the virus. There is no need to begin stockpiling food, cooking gas or hand sanitizers. However, it is always prudent to take sensible precautions like the ones identified above.","Published at : April 1, 2020",Kathmandu,Chandan Kumar Mandal
Province 2 announces relief package to feed poor and vulnerable during lockdown,"The Province 2 government has come up with a relief package targeting the most-affected groups due to the ongoing nationwide lockdown due to Covid-19. An all-party meeting called by the Province 2 government on Sunday morning decided to roll out a food relief package for the families affected by the lockdown, Shailendra Prasad Shah, minister of land management, agriculture and cooperatives, said. “We have been coming across grievances regarding the poor and daily wage workers who have been struggling for basic necessities like food during the ongoing lockdown,” Shah told the Post. “Since there is a possibility of the lockdown extending further, these people will be hit even harder. So we have announced this relief package for them.”Shah said the success of effective lockdown also depended on how these groups, who have to work every day to make their ends meet, were taken care of by the state.As per the relief plan, the local levels in the province will get funds to provide food items to the vulnerable families in their areas. The meeting has announced to provide Rs 2.5 million for metropolitan city, Rs 2 million for sub-metropolitan city, Rs 1.5 million for municipality and Rs 1 million for rural municipality to feed the poor and the vulnerable during the lockdown period. “The funds have been allocated and the required working procedures for effective distribution of the relief packages through local level governments, political party representatives, humanitarian organisations will be prepared by this evening,” Shah said. “The team will also collect data of the recipient families.” The Province 2 government said the initial relief package was only for the distribution of food items and it might come up with larger relief plans for other groups as well. “Everyone has been affected due to the ongoing crisis, but their level of struggle is varied. Poor people are scrambling for food. Even business owners are saying that their businesses have been completely halted because of the lockdown,” Shah said. “For now, we are helping those who need help the most. We are discussing a broader package that will cater to everyone.”","Published at : March 29, 2020",Kathmandu,Chandan Kumar Mandal
People in Rautahat who recently returned from India are yet to come in contact with local units,"In the wake of the novel coronavirus outbreak that has spread across the world, thousands of Nepalis in India returned home. Every year during the harvest season, Nepalis, especially from the Tarai, move to India for work. This year, they had to cut their time short due to the outbreak which has infected over 800 people in India so far. The Nepali migrants were let inside Nepal with preliminary screening done on various border checkpoints for the virus infection. Back in Nepal, the local units are requesting Nepalis who recently returned from abroad to stay in quarantine facilities, even if the local units are scrambling to set up the facilities.Officials at local units, however, say the individuals are reluctant to stay in quarantine. Chief District Officer Basudev Ghimire said that quarantine facilities have been set up in various places including Chandranigahapur and Gaur that collectively house 69 individuals so far. But the number of people who’ve returned from India is more than that, Ghimire said. “Many people are reluctant to report to the officials,” Ghimire said. “They should be conscious of stopping the virus from spreading in the society. More importantly, they should be conscious of the health of their family members.”The number of people in Rautahat who migrate to India for work is estimated to be over 10,000. A majority of them are assumed to have returned since the pandemic but officials say they do not have the records. Neither were they properly tested to detect if they carry the virus. Some people have come into contact with the local units and are currently quarantined, the district administration has yet to identify a large swath of returnees. As a result, officials say they are worried that the returnees might have been spreading the virus among their family and society.","Published at : March 28, 2020",Rautahat,Shiva Puri
"One killed as smugglers, Nepal Army exchange fire in Parsa National Park","One man was killed when a group of wildlife smugglers exchanged gunfire with Nepal Army patrolling squad in Parsa National Park on Friday morning, according to Amir Maharjan, chief conservation officer of the park. A Nepal Army warrant officer has sustained bullet injuries in the gunfire.The incident occurred at around 9:40 in the morning some 500 metres east of Mahadev River. Maharjan said a group of around 11 smugglers had reached the Mahadev River area of the national park to hunt for wildlife. The river serves as a watering hole for the wildlife in the park, said Maharjan. Maharjan said when a patrolling team of Nepal Army from Siddhibox Battalion reached the area, smugglers opened fire on the patrolling team. The Army fired in retaliation and killed a smuggler on the spot. He has been identified as Bhim Lal Moktan, a 45-year-old from Padampokhari in Hetauda sub-metropolis. Maharjan said the smugglers might have come in search of wild animals to take advantage of the nation-wide lockdown over coronavirus concerns.The warrant officer (second class) seriously injured in the incident has been named as Min Bahadur Chantyal. He has sustained bullet injuries on his thigh. He is receiving treatment at National Medical College in Birgunj. “The bullet went through his right thigh,” said Maharjan.Maharjan said they have increased monitoring in the area after reports of wood and animal smugglers becoming active during the lockdown period surfaced.","Published at : March 27, 2020",Parsa,Shankar Acharya
"Bara is inadequately prepared to handle outbreak, health officials say","For thousands of rural population in Bara, primary health centres are their only lifeline in times of sickness. But as the country is preparing itself to prevent a major outbreak of Covid-19, which has been devastating many parts of the world, these health facilities find themselves under-equipped to care for a patient with suspected or confirmed case of the highly contagious disease.They lack the resources, both human and equipment, to treat Covid-19 patients.At this time of medical emergency, the medical workers at Ganjbawanipur Primary Health Centre in Mahagadhimai Municipality do not even have enough face masks and hand sanitisers.“We have been purchasing face masks and hand sanitisers for ourselves. The government has not sent any item that could help us deal with a possible Covid-19 outbreak,” said Nirmala Kumari Pandit, an auxiliary nurse midwife, at the centre said.The primary health centre is led by one doctor, who is assisted by a small staff of auxiliary nurse midwives and health assistants. The 12-room facility does not have enough beds in case of mass illness. The only beds available are at the birthing centre and the emergency ward, and they are not remotely enough to accommodate even a dozen patients at once. “Even if the centre had enough beds, it lacks medicines and medical equipment,” Pratima Chaudhary, another auxiliary nurse midwife, at the centre said. “Even the essential medicines are hard to come by. We have been referring most of our patients to other health facilities because we lack the means to treat them here at the centre.”Even hospitals in the district are poorly equipped. Kalaiya Hospital at the district headquarters, for instance, lacks the drugs and medical equipment to treat and contain a major outbreak of an infectious disease. Setting up a 15-bed isolation ward is the only preparation the hospital has made against Covid-19, Manoj Yadav, a hospital staff member, said. “The hospital does not have the necessary medical equipment and medicines to treat suspected Covid-19 patients.” While many health professionals in Bara are insisting that the district is underprepared in all departments to handle a major outbreak of the disease, the elected representatives are claiming that they have built fully-equipped health desks and isolation wards to deal with a possible public health emergency due to Covid-19.Bharat Bhandari, the mayor of Kolhawi Municipality, said that his office had even managed Personal Protective Equipment for health workers. Similarly, Chandan Singh, the chairman of Devtal Rural Municipality, said his office was distributing face masks and hand sanitisers to health workers.Many health facilities in Bara have in fact set up isolation wards to keep suspected Covid-19 patients, but whether these facilities are fully-equipped and their staff confident to deal with an actual emergency is a different story. The two-bed isolation ward set up by the local municipal government in Simraungadh is a case in point. “We have set up two beds to isolate patients but we don’t have beddings and bed sheets,” Manu Yadav, a local health worker, said. “We don’t even have proper beds to keep two patients, let alone personal protective equipment.”One cannot rule out the possibility of the Covid-19 spread in Bara. People are still defying the nationwide lockdown by going out and the movement of people through smaller border crossings between Nepal and India has not stopped. “We are trying to stop the movement of people on the border points, but we alone cannot do this alone. We need support from all stakeholders and the locals should also heed to the government’s request,” Digbijaya Subedi, superintendent of the Armed Police Force, said.Chief District Officer Rudra Singh Pandit also appealed to the people to comply with the lockdown orders.“Our only chance of stopping Covid-19 is taking preventive measures and staying home at this moment. The people should cooperate with the local administration and not defy the lockdown,” Pandit said.","Published at : March 27, 2020",Bara,Laxmi Sah
33 people on same flight as coronavirus-infected 19-year-old test negative,"Thirty-three people from Province 2, who were on the same flight as the second person in the country to test positive for Covid-19, have tested negative for the disease, provincial authorities said on Thursday.A total of 34 people from the province were on Qatar Airways flight QR652, which was also boarded by the infected 19-year-old woman in Doha while returning to Kathmandu from France on March 17.One individual from Siraha, who was also on the flight, however, has contracted fever. The man is receiving treatment at the Kathmandu-based Shukraraj Tropical and Infectious Disease Hospital. His test report hasn’t been issued yet, said police.“Thirty-three people from Province 2 returning from Qatar on the same flight as the Covid-19 patient have tested negative for the virus,” said Deputy Inspector General Pradhumna Karki from the provincial police office, Janakpur. “They are currently in self-quarantine in their own homes.” The 34 people were tracked by police after authorities intensified search for all passengers onboard QR652. After the passengers were tracked, their throat and nasal swabs were sent to the central laboratory for testing. “Everyone returning from Qatar to Province 2 is under the surveillance of health officials and security agencies,” said Bijaya Jha, senior health officer at the social development ministry of Province 2. Meanwhile, authorities are taking a host of initiatives to control the possible spread of coronavirus in the province. According to the provincial police office, 68 people have been kept in quarantine in various districts. Most of them were placed in quarantine after they returned from India and other countries in the past few weeks.However, as Nepal saw a huge influx of people from India and other countries hours before the nationwide lockdown began on Monday, authorities are facing a hard time tracking all returnees. “A majority of Nepalis working abroad, especially in India, made their way into Nepal in the last two weeks. We are working on identifying them, contacting them and keeping them under surveillance,” said Karki. In Saptari, authorities have deployed health workers to track people who returned to Nepal from foreign countries in the past 10 days.With the country confirming three Covid-19 cases—all of them “imported”—health workers in the district are keeping an eye on people who have returned from countries such as Dubai, Qatar, Saudi Arabia and India in the past 10 days.District Public Health Office chief Duniya Lal Yadav said the returnees will be kept in quarantine. He said, “The district can accommodate 215 people in 18 locations.” The health office has also urged local units to establish quarantine facilities at the earliest.According to Yadav, 36 individuals in the district have been quarantined.Quarantine facilities have also been set up in Bodebarsain Municipality, Saptakoshi Municipality, Chandanrup Municipality, and Agnisaira Krishnasavaran Rural Municipality.In Dhanusa, Nepal Army has set up a 160-bed quarantine facility at Mithila Aayurveda College, Gaguli.The Province 2 government has established a relief fund with Rs 250 million seed money to facilitate efforts to control the spread of the coronavirus. The fund will also be used to provide relief to those affected by the pandemic. According to the Minister for Internal Affairs and Law Gyanendra Kumar Yadav, provincial ministers will also contribute a month’s salary to the fund. The Cabinet meeting also decided to make provisions to allow three laboratories in Janakpur, Birgunj and Rajbiraj to test for Covid-19.  Frequently asked questions about the coronavirus outbreakUPDATED as of September 22, 2020What is Covid-19?Covid-19, short for coronavirus disease, is an illness caused by the coronavirus SARS-CoV-2, short for severe acute respiratory syndrome coronavirus 2. Common symptoms of the disease include fever, dry cough, fatigue, shortness of breath and breathing difficulties. In severe cases, the infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death. How contagious is Covid-19?Covid-19 can spread easily from person to person, especially in enclosed spaces. The virus can travel through the air in respiratory droplets produced when a sick person breathes, talks, coughs or sneezes. As the virus can also survive on plastic and steel surfaces for up to 72 hours and on cardboard for up to 24 hours, any contact with such surfaces can also spread the virus. Symptoms take between two to 14 days to appear, during which time the carrier is believed to be contagious.Where did the virus come from?The virus was first identified in Wuhan, China in late December. The coronavirus is a large family of viruses that is responsible for everything from the common cold to Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). After an initial outbreak in Wuhan that spread across Hubei province, eventually infecting over 80,000 and killing more than 3,000, new infection rates in mainland China have dropped. However, the disease has since spread across the world at an alarming rate.   What is the current status of Covid-19?The World Health Organisation has called the ongoing outbreak a “pandemic” and urged countries across the world to take precautionary measures. Covid-19 has spread to 213 countries and territories around the world and infected more than 31,405,983 people with 967,505 deaths and 22,990,260 recoveries. In South Asia, India has reported the highest number of infections at 5,557,573 with 88,943 deaths. While Pakistan has reported 306,304 confirmed cases with 6,420 deaths. Nepal has so far reported 65,276 cases with 427 deaths.How dangerous is the disease?The mortality rate for Covid-19 is estimated to be 3.6 percent, but new studies have put the rate slightly higher at 5.7 percent. Although Covid-19 is not too dangerous to young healthy people, older individuals and those with immune-compromised systems are at greater risk of death. People with chronic medical conditions like heart disease, diabetes and lung disease, or those who’ve recently undergone serious medical procedures, are also at risk. How do I keep myself safe?The WHO advises that the most important thing you can do is wash your hands frequently with soap and water for at least 20 seconds or use hand sanitizers with at least 60 percent alcohol content. Avoid touching your eyes, nose and mouth with unclean hands. Clean and disinfect frequently used surfaces like your computers and phones. Avoid large crowds of people. Seek medical attention if symptoms persist for longer than a few days.Is it time to panic?No. The government has imposed a lockdown to limit the spread of the virus. There is no need to begin stockpiling food, cooking gas or hand sanitizers. However, it is always prudent to take sensible precautions like the ones identified above.","Published at : March 26, 2020",Janakpur/ Saptari,Ajit Tiwari						 &
Police seize a container truck carrying 52 people from Kathmandu to Birgunj on Wednesday,"The District Police Office in Parsa seized a container and arrested the driver on Wednesday for ferrying 52 passengers from Kathmandu to Birgunj. The driver was charged with hiding the passengers inside the container truck. Gautam Thapa, Deputy Superintendent of Police, said, “There were 52 people hiding inside the truck, including three children and one woman.” The container had reached Birgunj at around 1:30 am on Wednesday. “We have detained the driver, Shiva Narayan Mahato and impounded the container,” he said. According to the District Police Office, the container truck had carried goods to the Capital and returned to Birgunj carrying people. “The driver of the container will be punished according to the prevailing legal system,” said Thapa. All of the passengers of the container were Nepali nationals. On conditions of anonymity, one of the passengers said that he paid Rs 200 as transport fare to the container driver. Him, along with the rest of the passengers, are currently kept at a quarantine facility at Ayurved Hospital in Birgunj, said Gautam. The Ayurved Hospital has set up a 50-bed quarantine facility with a medical team of security personnel from Nepal Army and Nepal Police. According to Lalit Basnet, assistant chief district officer, the medical team is conducting general medical tests of the 52 passengers. “If there are no suspicious cases, we will hand them over to their families. For now, we are awaiting their health reports,” said Basnet. The government has prohibited all public movement Tuesday onwards, except to seek medical attention or purchase essential goods. A meeting of the high-level committee for the prevention and control of Covid-19, led by Deputy Prime Minister Ishwar Pokhrel, took the decision on Monday evening, hours after a second coronavirus case was confirmed in the country. The government has also decided to book anyone defying the government order under the Infectious Disease Control Act. According to the Act, violators are liable for a jail term of a month or a Rs100 fine, or both. As per the Nepal Gazette, published on October 14 last year, the government enlisted 19 services as “essential”. These essential services include telephone; transportation; civil aviation; airport; mint or governmental press; defence affairs relating to arms, ammunition or production of any military goods; communication; internal security; drinking water; residence of tourists; petroleum products; health; medicines; bank; insurance; and electricity.","Published at : March 25, 2020",Parsa,Shankar Acharya
Birgunj juvenile reform home turn away parents who had come to take their children home amid Covid-19 scare,"A group of parents who had reached the juvenile reform home in Birgunj on Tuesday to take their children home amid Covid-19 lockdown were turned away.They had reached the facility after four teenage boys were handed over to their parents on Monday.Tika Krishna Kaphle, chief of the juvenile home, said the four boys were released at the instruction of the concerned courts. “We have handed them to their parents on condition of making them available if needed in the future,” Kaphle said.   He added that the juvenile home will not be releasing any of the juvenile inmates during the lockdown period. Meanwhile, the Birgunj Prison is preparing to release some of the inmates to minimise the risk of coronavirus spread inside the prison facility. Those who are set to be released are elderly inmates with sentences lower than two years. Prison officer Shrawan Kumar Pokharel said the Department of Prison Management had decided to release inmates who are above 65 years of age. “We have sent a list of 49 names of elderly inmates to the department,” said Pokharel. The department has also asked the details of inmates serving jail terms for one year or less. “There are more than two dozen such inmates in Birgunj Prison. I have started to collect applications from those inmates from Tuesday,” said Pokharel. The Covid-19 release programme for prisoners, however, will not apply to repeat convicts.  According to the prison administration, the inmates will be released only after the lockdown has been lifted. “We are not going to leave the inmates stranded on their way to their homes,” said Pokharel. Currently, there are 1,300 inmates, males and females, in Birgunj prison which is twice the capacity of the prison. To stem the possible spread of coronavirus, the prison administration has compulsorily enforced the rules of facemasks and sanitisers for visitors as well as limited the visiting hours. “We are only allowing one visitor per inmate these days. The visitors are not allowed to bring food to the inmates,” said Pokharel. According to data on the prison published a year ago, there are more than 80 inmates suffering from high blood pressure and 32 from diabetes in the prison. There are also a few asthma and HIV/AIDS patients. “This is why the prison is at high risk of coronavirus. We are also on high alert as many Indian nationals also arrive in the prison to meet inmates on a daily basis,” said Pokharel.","Published at : March 25, 2020",Parsa,Shankar Acharya
Security measures stepped up in Province 2 following the death of a man in Bihar due to Covid-19,"Province 2 authorities have increased vigilance along the Nepal-India border after a person died of Covid-19 in the neighbouring Indian state of Bihar on Sunday. Local authorities have urged security personnel deployed at various border points in all eight districts of the province to remain alert. The authorities have also started screening individuals returning from India for symptoms akin to Covid-19.With the ‘Janata curfew’ (people’s curfew) in effect in India on Sunday for 14 hours, the province saw a relatively low movement of people in the border area. Nonetheless, there was a heavy presence of security personnel at various border crossings, including Jatahi of Dhanusa district and Matihani of Mahottari district.The Birgunj-Raxaul border point, one of the major points linking Nepal and India, also saw a fewer number of people crossing the border.Border authorities on either side have banned pedestrians and vehicles, including two-wheelers and e-rickshaws, from crossing the border. DSP Amar Khatri of the Armed Police Force, deployed at the Birgunj customs, informed that six Indian nationals were denied entry after they showed symptoms similar to that of Covid-19.Dr Niraj Singh of the Birgunj-based Narayani Hospital pointed out that the administration should prioritise the strict enforcement of 14-day quarantine of Nepalis who are entering the country from India through various border points. “The authorities must urge all citizens, including people from the other side, to observe self-quarantine,” said Singh, adding that they should be treated at the isolation ward of a hospital only after showing symptoms of Covid-19.Likewise, the flow of people from either side of the border at Bairganiya in Rautahat district was also low. Health officials at the help desk, who until Saturday were overwhelmed by people returning from India, were seen relaxed as both nations have stopped the movement of people through the border point.“The Bairganiya border point has never been this empty, not even during strikes called by political parties,” said Lakhan Sah, who runs a paan shop nearby. “People have been aware of the spread of coronavirus, but there is a sense of fear in the past few days.”In view of the Covid-19 outbreak in India, the Saptari administration has also banned the entry of people from India in seven out of its eight border points. Only Kunauli bazaar border crossing is open for people to enter Nepal.  Frequently asked questions about the coronavirus outbreakUPDATED as of September 22, 2020What is Covid-19?Covid-19, short for coronavirus disease, is an illness caused by the coronavirus SARS-CoV-2, short for severe acute respiratory syndrome coronavirus 2. Common symptoms of the disease include fever, dry cough, fatigue, shortness of breath and breathing difficulties. In severe cases, the infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death. How contagious is Covid-19?Covid-19 can spread easily from person to person, especially in enclosed spaces. The virus can travel through the air in respiratory droplets produced when a sick person breathes, talks, coughs or sneezes. As the virus can also survive on plastic and steel surfaces for up to 72 hours and on cardboard for up to 24 hours, any contact with such surfaces can also spread the virus. Symptoms take between two to 14 days to appear, during which time the carrier is believed to be contagious.Where did the virus come from?The virus was first identified in Wuhan, China in late December. The coronavirus is a large family of viruses that is responsible for everything from the common cold to Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). After an initial outbreak in Wuhan that spread across Hubei province, eventually infecting over 80,000 and killing more than 3,000, new infection rates in mainland China have dropped. However, the disease has since spread across the world at an alarming rate.   What is the current status of Covid-19?The World Health Organisation has called the ongoing outbreak a “pandemic” and urged countries across the world to take precautionary measures. Covid-19 has spread to 213 countries and territories around the world and infected more than 31,405,983 people with 967,505 deaths and 22,990,260 recoveries. In South Asia, India has reported the highest number of infections at 5,557,573 with 88,943 deaths. While Pakistan has reported 306,304 confirmed cases with 6,420 deaths. Nepal has so far reported 65,276 cases with 427 deaths.How dangerous is the disease?The mortality rate for Covid-19 is estimated to be 3.6 percent, but new studies have put the rate slightly higher at 5.7 percent. Although Covid-19 is not too dangerous to young healthy people, older individuals and those with immune-compromised systems are at greater risk of death. People with chronic medical conditions like heart disease, diabetes and lung disease, or those who’ve recently undergone serious medical procedures, are also at risk. How do I keep myself safe?The WHO advises that the most important thing you can do is wash your hands frequently with soap and water for at least 20 seconds or use hand sanitizers with at least 60 percent alcohol content. Avoid touching your eyes, nose and mouth with unclean hands. Clean and disinfect frequently used surfaces like your computers and phones. Avoid large crowds of people. Seek medical attention if symptoms persist for longer than a few days.Is it time to panic?No. The government has imposed a lockdown to limit the spread of the virus. There is no need to begin stockpiling food, cooking gas or hand sanitizers. However, it is always prudent to take sensible precautions like the ones identified above.","Published at : March 23, 2020",Birgunj,Bhusan Yadav
