Article Title,Article Content,Date,Location,Author
Cold weather affects life in several Tarai districts,"Tulasa Chaudhary, 56, of Butwal Sub-metropolitan City Ward No. 17 in Rupandehi has been housebound for the past four days due to a plunge in temperatures. A vegetable seller, she moves around the city selling the produce from her field. “The past few days have been very difficult for me. The cold wave has made it difficult for me to go about my daily work. It’s hard to preserve my vegetables too,” she said. Hawkers generally go from street to street in the morning to sell vegetables but the streets have been empty of hawkers in Butwal of late due to the cold wave.Rupandehi, a Tarai district in Lumbini Province, has not received sunshine for the past four days, according to local residents. Human movement in the marketplaces and even the traffic flow in the streets have significantly decreased. The cold wave has affected everyone but it’s the daily wage earners like Chaudhary who have been hit the hardest.Sharada Tharu of Butwal says she is worried about managing her daily expenses since it’s getting difficult for her to go out in the morning to sell vegetables. “I sell vegetables door-to-door but the past few days have seen a thick blanket of fog in the morning,” said Tharu. “It’s difficult to go out in the morning but I am braving the cold for now. If the cold wave continues, I may not be able to step out.” Cold wave is a weather condition with a rapid fall in temperature due to a lack of sunshine, dense fog and cold wind. Districts across the Tarai region are affected by the cold wave every year. Patients with special medical needs are also hit hard by the increasingly cold weather in the area. “I have to provide special care to my elderly father-in-law, an asthma patient. The cold is cruel to patients like him,” said Dharmikala Chaudhary of Kohalpur-2 in Banke district. She too has not been able to venture out of her house for the past few days due to the cold wave.In Nepalgunj, business activities have come to a standstill, which has pushed many wage earners into difficult times. “I haven’t been able to find any work in the past two days,” said Jogendra Khatri, who ekes out a living as a porter in BP Chowk, Nepalgunj. “So many of us have been jobless with no alternate source of income.” Various district administrations and local units have started distributing warm clothes and firewoods to the impoverished people. The district administration office in Baridaya has distributed 50 blankets to elderly people and postpartum mothers. Chief District Officer Liladhar Adhikari said the district administration released Rs 1 million budget as disaster management to eight local units in the district in light of this year’s cold wave.In Kapilvastu, marketplaces and government offices on Tuesday wore a deserted look due to the biting cold. According to Ramu Regmi, an officer at Ramnagar field unit of the Department of Hydrology and Meteorology, Tuesday was the coldest day in Kapilvastu this year. “The minimum temperature was recorded at eight degree Celsius on Tuesday. The sky might not open up for the next few days,” said Regmi.Medical professionals advise people to stay indoors to avoid catching cold-related diseases like pneumonia and viral fever. “In cold weather, the chances of infants below five years catching pneumonia are very high. Special care should be provided to senior citizens and people with chronic diseases,” said Dr Dinesh Shrestha, the deputy director at Nepalgunj Medical College.Dharan in Province 1 witnessed dense fog for the first time in 12 years and visibility was reduced to 50 metres on Tuesday morning, according to Akhalesh Chaurasiya, an assistant meteorologist in the Dharan-based Meteorological Forecasting Division.Geographically, Dharan, which is encircled by hills from three sides and connected to Chhar Koshe forest in Tarai, is listed as a low fog area. “Cold waves are common in Tarai during this season. The dense fog in Dharan is mainly due to the western low-pressure system,” said Chaurasiya.According to him, the minimum temperature was recorded at 14.4 degree Celsius in Dharan on Tuesday.Meanwhile, normal life in Province 2 has also been affected due to the cold wave since the last two days. But authorities have done nothing for impoverished households who are facing extreme cold weather conditions.(With inputs from our local correspondents)","Published at : January 13, 2021",Lumbini,Lumbini Province Bureau
"Women hit by pandemic, domestic violence at high risk of trafficking","A woman from Sindhupalchok district was rescued by the officials of Maiti Nepal, an social organisation working in the field of anti-human trafficking, in Nepalgunj, Banke on January 1.The woman in her early forties was on her way to the Gulf country, as assured by her agent, through India. She learned that she was being sent abroad illegally only after she was rescued from Jamunaha border point.“My husband has been rendered jobless by the Covid-19 pandemic. Now he has taken to alcohol. He idles away at the village drunk and comes home and beats me,” she said. “I have to live in poverty and violence. That’s why I decided to go for foreign employment.” According to her, she came to Nepalgunj with an acquaintance expecting to go to India and fly to the Gulf country thereon.But she did not have the necessary documents required to travel to a foreign country for employment. So was stopped at the border unit on suspicions of being a victim to human trafficking.According to Maiti Nepal, she was rescued along with five other women while they were being smuggled into India.Keshav Koirala, Nepalgunj coordinator of the organisation, said that human traffickers have been luring women hit hardest by the pandemic and gender-related violence.A 35-year-old woman from Makwanpur district was also rescued on the same day. She was also running away from poverty after she separated with her husband. “My husband and I have separated. I could see no way I could make a living in the village so I decided to go abroad,” said the woman. According to the Nepalgunj branch of Maiti Nepal, as many as 14 women who were heading to the Gulf country through India have been rescued from Jamunaha border point in the past two weeks. Eight women were rescued in January while six were rescued in the last week of December. Most of the rescued women are from Sindhupalchok, Kavre, Makwanpur, Dhading, Bhojpur, Kapilvastu, Tanahun, Lamjung, Chitwan among other districts.“The women who attempted to cross the border did not have any documents required for foreign employment. The women did not know where they were going,” said Koirala. According to him, the rescued women, aged between 22 to 45 years, will be sent back to their families.“The women and girls who are hugely affected due to the pandemic are at high risk of trafficking. Women who find themselves in a financial crisis are found taking risks to go abroad even illegally. But they don’t know the risks involved. Going to India to fly to a Gulf country without necessary documents is risky and they can become victims to human trafficking,” said Koirala.Human traffickers have been using the Jamunha border to take the foreign job aspirants to India illegally. According to the data available at the Nepalgunj branch of the Maiti Nepal, a total of 267 India-bound women and girls were rescued in 2020 in suspicion of possible human trafficking. “It is difficult to conduct a successful rescue operation once the victims have crossed the border. So we try our best to stop such incidents at the border” said Koirala.","Published at : January 9, 2021",Banke,Madhu Shahi
Smuggling of wildlife parts rampant in Butwal,"On December 6, Rupandehi police confiscated a rhino horn from New Kalash Hotel in Sukhanagar, Ward No. 8 of Butwal Sub Metropolis.While confiscating the horn, Birendra Bahadur Singh, one of the smugglers, snatched a pistol from a policeman, opened fire and escaped the scene. Rakesh Neupane from Kathmandu, who was involved in the smuggling racket, sustained bullet injuries in the incident. Two arrests were made that day. Singh of Nayakbada Rural Municipality in Jajarkot is still at large, police said. The next day, on December 7, police confiscated a musk deer’s gland from Ward No. 10 in Devdaha Municipality. Satya Narayan Thapa, deputy superintendent of police in Rupandehi, said eight incidents related to wildlife smuggling were reported in the first five months of the current fiscal year. “Eighteen individuals were arrested for their involvement in wildlife smuggling. Among them, nine have been remanded in judicial custody,” said Thapa. As per the existing legal provisions, a jail term of five to 15 years and a fine of up to Rs500,000 can be given to a person convicted of poaching a rhino or musk deer and smuggling their body parts.Of late, Butwal in Rupandehi has become a hub for wildlife smuggling. According to police investigation, smugglers have been bringing wildlife parts from various parts of the country and using Butwal as a transit point to smuggle them to China from the Korala border point.“Butwal is one of the big cities in the country and people's movement is high here. Smugglers take advantage of this to smuggle wildlife body parts,” said Prabin Pokharel, superintendent of police in the District Police Office in Rupandehi. On September 11, five people were arrested with two sets of pangolin skulls from Nepalgunj Road in Ward No. 5 of Butwal Sub Metropolis. According to the Division Forest Office, the five arrested had killed the pangolins themselves with the intention to sell the body parts in Butwal. “The carriers were mostly found with leopard and pangolin body parts. But we haven’t been able to arrest the individuals responsible for the export of wildlife parts to China” said Bodhraj Subedi, chief at the Division Forest Office in Rupandehi.In the past, smugglers used to transport wildlife parts to Tibet in China from Darchula, Dolpa or from Rukum (East). But of late, smugglers have been using an alternative route—Rupandehi-Gulmi-Dhorpatan-Korala border point—for the export. “Butwal has become a safe bet for wildlife smugglers because it's a big commercial hub,” said Deepak Gyawali, spokesperson at the Ministry of Industry, Tourism, Forest and Environment in Lumbini Province. “So far, police have been able to arrest only carriers. The police must go after the criminal masterminds of wildlife smuggling to eradicate this illegal activity.”","Published at : December 16, 2020",Butwal,Amrita Anmol
Construction of waste processing centre in Rupandehi starts,"The government has started the construction of a waste processing centre in Sainamaina Municipality of Rupandehi district.The investment in the project is said to be around Rs 1 billion. According to authorities, the waste processing centre will be able to process 400 tonnes of garbage on a daily basis.Waste management is a major problem in Rupandehi district. Due to the absence of proper waste management plants in the district, the majority of the local units have been dumping waste on river banks and open areas. To solve the garbage management problem in Rupandehi, the federal government has enlisted waste management projects in the district as one of the national priority projects.To address the garbage issue in the district, authorities had earlier initiated the construction of a waste disposal centre in Butwal but the project could not move forward due to locals’ disagreement with the proposed location. The proposed waste management centre in Butwal was said to be constructed with financial support from a donor. But locals and leaders of various political parties protested against the proposal and the plan was cancelled.“The construction of a waste management centre in Butwal came to a halt due to obstruction by the locals. Therefore, a waste management centre is now being constructed in Ward No. 10 of Sainamaina with the government’s investment, ” said Shivaraj Subedi, mayor of Butwal Sub Metropolis.In the first phase of the project, garbage from Sainamaina, Butwal and Kanchan Rural Municipality will be processed at the waste management centre. “In the second phase, we plan to process waste from all 16 local units of Rupandehi and also from four local units of Kapilvastu district,” said Chitra Bahadur Karki, mayor of Sainamaina Municipality. “All solid waste, including medical ones, can be processed at the waste processing centre. We plan to utilise the by-products as compost fertiliser.” According to him, they are also looking into monetising the plan in the future. “We have selected an area far from human settlements to minimise conflicts with the local residents,” he said. “The centre will be handed over to the private sector for operation after completion of the construction work.”The proposed waste processing centre is spread in three bighas of land in Ukash Chhetra of Khormor Khola. It is five kilometres away from the East-West Highway and two kilometres from a human settlement.According to Mayor Karki, the project was started after conducting an Environmental Impact Assessment in the proposed area. “The report showed that we could go ahead with the construction of the waste processing centre at Sainamaina,” he said.The federal government has provided Rs 100 million as grant for the construction of the waste processing centre. In the last fiscal year, the government had allocated Rs 30 million for the project. Suraj Neupane, the project chief of Sainamaina Municipality, said, “The Ministry of Urban Development has also allocated Rs 4.5 million for garbage management in the district. The amount will be utilised to repair and upgrade the side roads that link the highway to the waste processing centre.”The Ministry of Finance has also vowed to provide an additional budget for the construction of the waste processing centre after the project was included in the national priority projects list. “A Detailed Project Report has been prepared for the construction of the project. We will send additional budget on the basis of the work performance,” said Finance Minister Bishnu Prasad Paudel, adding that he has directed the project officials to complete the construction of the waste processing centre within two years.","Published at : December 9, 2020",Butwal,Amrita Anmol
Only isolation centre in Rolpa closed despite several active Covid-19 cases,"The only isolation facility in Rolpa has been closed down by authorities despite the district having many active cases, according to the health and population ministry. There are 22 active Covid-19 cases in Rolpa as of Monday. With the closure of the isolation centre at Jaljala Multiple Campus in Liwang, the district headquarters of Rolpa, Covid-19 patients in the district have been deprived of proper health care and facilities. The isolation facility was closed three weeks ago after the campus administration asked the District Covid-19 Crisis Management Committee to vacate its premises.“We asked the chief district officer and other concerned authorities to make arrangements for a new location for the isolation centre and not to shut it down completely but they paid no heed to us,” said Phabindra Aacharya, the coordinator of Rolpa Hospital Management Committee. “The treatment of the infected has been greatly affected by the closure of the isolation centre. We held talks with the chief district officer several times regarding the management of the isolation facility but to no avail,” said Aacharya. According to him, the health authority is facing further challenges in their fight against coronavirus since the District Covid-19 Crisis Management Committee, which is headed by the chief district officer, is ineffective in its actions.“The District Coordination Committee, Rolpa Municipality Office and other local units are also indifferent towards the issue,” said Aacharya. “We have been asking them to make arrangements for an isolation centre but no one has listened to us.” The isolation centre at Jaljala Multiple Campus, which had been set up at the cost of Rs3 million, had started providing services in June. The centre was run with the financial support of Rolpa Municipality and nine rural municipalities in the district. Around 200 coronavirus-infected people received health services from the centre since its establishment.Chief District Officer Narendra Rana said the District Covid-19 Crisis Management Committee has not taken any decision over the operation of the isolation centre in the district due to the government’s policy of giving priority to home isolation. “We have urged the infected people to stay in home isolation by following health security protocols,” said Rana, adding that the committee would provide necessary support to the infected if they faced any health difficulties. According to Rolpa Hospital, 15 Covid-19 patients are receiving treatment outside the district. The infected people have been urged to stay in home isolation but no institution has been given the responsibility to monitor them.Health officials have underscored the need for a separate treatment centre for Covid-19 patients to prevent the community transmission of the virus. They say the risk of community transmission is high from patients staying in home isolation since they cannot strictly follow health security measures in congested living quarters.“We are planning to provide treatment to the infected people by isolating them. But we cannot do it due to a lack of space,” said Dr Dhanamaya Gharti Magar. According to her, the hospital refers symptomatic Covid-19 patients to Banke, Dang, Butwal and Kathmandu for treatment due to the lack of isolation ward in the district.A total of 253 people have been infected with the virus in the district so far. Three patients died in the course of treatment.","Published at : November 25, 2020",Rolpa,Kashiram Dangi
Jagadishpur lake welcomes thousands of migratory birds,"Thousands of migratory birds have arrived at Jagadishpur lake, a Ramsar wetland site in Kapilvastu, with the arrival of the winter season this year.Various species of birds from as far as Siberia migrate to the lake during winter in search of food. The migratory birds started flocking to the Jagadishpur lake in October second week this year. The lake, which is considered as a haven for birding, is hosting thousands of birds at present. “Around 6,000 to 8,000 birds have arrived at the Jagadishpur lake so far,” said ornithologist Hem Sagar Baral. “The arrival of migratory birds will continue for the next few weeks.” According to conservationists, several bird species including, Common coot, Gadwall, Lesser Whistling duck, Tufted duck, Ferruginous duck, Northern pintail, Northern shoveler, Eurasian Wigeon, Common Pochard and Cotton Pygmy-goose, migrate to the Jagadishpur lake every winter.Shiva Bahadur Wagle, the chief of Kapilvastu Municipality Ward No. 9, said around 300 migratory birds have been making their way to the Jagadishpur lake from the north every day. “Common coot, locally known as Marul, is the major bird species that have arrived in the lake. Approximately 3,000 Common coots have already reached the lake this year,” said Wagle. Many tourists have been frequenting the lake area since the first week of November for bird watching, says Rambilas Kewat, an employee at the lake conservation committee. “The flow of visitors has increased after the Dashain festival. More than 200 people visit the lake on a daily basis now,” he said. Madhab Belbase of Bhumahi from neighbouring Rupandehi district had visited the lake area with his friends a couple of days ago. “I came here to watch birds after I heard their arrival to the lake had already begun. This is a sight to behold,” Belbase said. Shyam KC, a resident of Bhaluwang in Dang district, has also had a similar experience. “It is an immense pleasure to watch thousands of birds at the same time. I walked around three kilometres around the lake watching the birds and listening to their chirpings,” said KC.Ruddy Shelducks, a bird species known as Chakhewa in Nepal, are the major attraction in the Jagadishpur lake. Hari hans, a rare bird species, are also spotted in the lake in a good number. “The birds will stay in the lake till February,” said ornithologist Baral.According to conservationists, of the 886 species of birds officially recorded in Nepal, around 118, including grebes, cormorants, herons, egrets, stork, ducks and geese, terns and gulls, are found in the Jagadishpur area.According to Som GC, another ornithologist, birds from as far as Siberia, China, Mongolia, Turkmenistan, and Kyrgyzstan, among other countries, migrate to the Jagadishpur lake every year to avoid severe cold. “The birds also face a shortage of food when it starts snowing in the northern areas. So they migrate to warmer places like the Jagadishpur lake area. Some birds travel around 4,000 to 5,000 miles to arrive at the lake,” said BC.The lake is spread over an area of 157 hectares and is located in Kapilvastu Municipality-9, 11km north of Taulihawa, the district headquarters. As Nepal’s biggest man-made lake, the Jagadishpur lake has been included in the list of Wetlands of International Importance. It was listed as the international wetland area in August 2003.","Published at : November 24, 2020",Kapilvastu,Manoj Paudel
Uncontrolled people’s movement risking Rupandehi to Covid-19 outbreak,"Over a 100 Covid-19 cases are being reported in Rupandehi district on a daily basis. But the district is not doing much to contain the spread of the virus.Kedar Shah, vector control chief of the Health Office in Rupandehi, said, “People in Butwal, Bhairahawa, Tilottama, Murgiya and Devadaha are not following social distancing measures. They are roaming around the bazaar areas without adhering to safety protocols, increasing the rate of infection in Rupandehi.”According to him, 80 out of 100 individuals in Bhairahawa and Butwal could have contracted the virus by now. “The situation is going out of control. But there’s no proper control and prevention measures to contain the disease,” said Shah. So far, 22,073 individuals have tested positive for Covid-19 in Lumbini Province with 2,807 active cases as of Friday.In Rupandehi alone, there are 8,478 Covid-19 cases. As the district lacks the mechanism to control the spread of the virus, Covid-19 cases have been increasing day by day. Dr Pushpa Raj Paudel, corona focal person at the Ministry of Social Development in Lumbini Province, said, “The majority of people in Rupandehi are found roaming the bazaar areas without face masks. They are not following proper health protocols in places of business and public vehicles. That is why Covid-19 cases have escalated in Rupandehi.” Rupandehi is the trade point of the western region of the country. The Lumbini provincial government has also prioritised Butwal while developing infrastructures to combat coronavirus. The government has established Covid-19 Special Hospital in Dhago Karkhana in Butwal. Until now, over 400 Covid-19 patients have received treatment from the hospital. Dr Bishnu Gautam, information officer at the Covid-19 Hospital, said, “Covid-19 patients from other provinces like Lumini, Gandaki and even Karnali come to our hospital for treatment. Among the 400 patients that received treatment here, around 80 percent have already recovered.” Gautam further added that most patients these days come to the hospital only when their health condition deteriorates.“Most of the patients are staying in home isolation,” he said.Rupandehi is also the trade point of Baglung, Parbat and Syangja districts. Every day, more than 5,000 vehicles to and from Butwal run on the East-West Highway. “Rupandehi has become the hotspot of coronavirus in the province, as Butwal is the centre of business, transportation, health and education, among other sectors,” Minister for Social Development of Lumbini Sudarshan Baral said. “Due to uncontrolled people’s movement and negligence in following safe health measures, the rate of Covid-19 infection has increased here. The virus can only be controlled if the citizens are aware and careful.” Lockdown in Resunga, GulmiResunga Municipality in Gulmi has reimposed lockdown for eight days starting from Friday due to the spread of Covid-19 in schools, financial institutions and colleges. Bom Aryal, health in-charge at the municipality, said, “We have decided to reimpose lockdown to control the spread of the virus.” Until Friday, the district had 179 active cases.","Published at : November 24, 2020",Rupandehi,Ghanashyam Gautam
"Murder investigation an excuse for police to harass locals, Dudawa residents say","On October 27, the body of 12-year-old Sunil Raidas was found in a pond close to his house in Dudawa Rural Municipality-3, Banke. Since then, the police have detained several locals and taken many into custody for questioning. One such suspect, Babulal Raidas, 36, of Bankatti in the rural municipality was found hanging inside the toilet of the District Police Office on Friday.The locals of Dudawa claim that police personnel frequent the villages every day and detain them but have so far failed to build a case against anyone. The police have so far detained 18 villagers, including children, in connection with the incident. Babulal, who was in custody for 25 days, was one of them. Babulal’s family claim that he was tortured while in police custody and blame the police’s botched investigation for his death.“Security personnel come to the settlement almost every day and detain whoever they meet in the village. They have arrested my son and kept him in custody. The police have terrorised us,” said Lalita Soni, mother of 21-year-old Ajaya who is also in custody for investigation. While the locals express their displeasure at the police administration’s approach to the investigation, Sunil’s relatives are still seeking justice for their murdered son. “It’s been almost a month since our son was tortured and killed. The police are yet to find the culprits,” said Bisharam, Sunil’s father. “We have been trying to register a complaint naming the suspect/s but the police haven’t done so. They say it will affect their investigation.” Sunil had gone missing on October 26 and his body was recovered the next day. The Area Police Office in Bankatti is just 500 metres from the incident site. Deputy Superintendent of Police Subhas Khadka claims that a detailed investigation into the case is underway. “We began investigating immediately after the incident came to light. We will soon bring the culprit/s to book,” he said.","Published at : November 23, 2020",Nepalgunj,Thakur Singh Tharu
Delay in hospital visits putting mothers and newborns at risk in Rupandehi,"On September 29, 20-year-old Kaushilya Yadav gave birth to her daughter at Bagaha Health Post.Yadav, a resident of Rohini Rural Municipality Ward No. 1 in Rupandehi, was taken to the health post after prolonged labour pain since her family had decided to opt for a home birth. “She delivered her child at the health post but both the mother and the child’s health deteriorated after the birth. The newborn needed supplemental oxygen so we referred them to Universal College of Medical Sciences in Bhairahawa,” said Shanta Gyawali, an auxiliary nurse midwife at the health post. The baby did not survive, according to family members. “We were making arrangements for Rs 10,000 needed for the baby’s admission to the ICU. By the time we got around to it, my baby had died,” said Yadav. Thirty-year-old Shila Yadav, a resident of Rohini Rural Municipality, gave birth to her son at home on September 2 even though the nearest health post was just five metres away from her house. “She was brought to the health post with post-birth complications,” said Gyawali. “If there was any further delay in bringing the mother and child to the hospital, we would have lost them both.” According to Gyawali, delay in bringing expecting mothers to health posts puts both the child and the mother at grave risks. The local health post has been raising awareness among locals about the importance of prenatal and postnatal care and the safety of institutional births, but it hasn’t stopped locals from opting for home births. “We also provide counselling to family members of expecting mothers. We ask them to visit the health post as often as possible but not many listen,” said Gyawali.Most pregnant women in the northern and southern parts of Rupandehi only visit health posts and hospitals when they face complications during home birth, say health officials. Rajyalaxmi Shrestha, an auxiliary nurse midwife at Dhakdhahi Primary Health Centre in Rupandehi, says, “By the time pregnant women are brought in, it’s too late for us to be able to help them. So we have to refer them to fully facilitated hospitals. If they come to us before their health gets worse, we can help them with safe delivery.” According to Dr Bishnu Gautam, an obstetrician at Lumbini Hospital, the locals’ preference for home births and postponing hospital visits put both mothers and their babies at risk.“We need to sensitise the local population and raise more awareness about safe institutional delivery,” Gautam said. “The pandemic has also affected the rate of institutional births in the district. Health posts in the northern and southern parts of Rupandehi used to receive 30 to 40 cases in a month,” said Gautam. Now, these health posts are receiving just five to 10 delivery cases, according to the data of the District Health Office in Rupandehi. Dr Arun Kharel, the medical officer at Basantapur Primary Health Centre in Omsatiya Rural Municipality Ward No. 4, says a fewer number of pregnant women are visiting health posts for deliveries since the pandemic hit. “Women have started to opt for home births, as they fear contracting Covid-19 when visiting health institutions. This stands to affect the infant mortality rate,” Kharel said. Sixty-four health posts, five primary health centres and two government hospitals have been providing birthing services in the district.","Published at : November 22, 2020",Tilottama,Sanju Paudel
Murder suspect found hanging inside District Police Office in Banke,"A murder suspect in police custody was found hanging inside a toilet at the District Police Office in Banke on Friday morning.Babulal Raidas of Bankatti in Daduwa Rural Municipality Ward No. 3, Banke, was arrested on the charge of killing a 13-year-old boy of the same village. He was in police custody for the last 25 days.The District Police Office in Banke had filed a murder case and also a case of misbehaving with police officers against Raidas. Relatives of the deceased have demanded an investigation into the case citing the incident as suspicious. Deputy Superintendent of Police at the District Police Office Subash Khadka said, “Raidas was arrested on a murder charge. But a case of misdemeanor was also filed against him for misbehaving with police personnel during interrogation.”According to him, Raidas committed suicide at 5:30am on Friday using a headscarf he had with him. Relatives of the deceased, however, have accused the police of foul play. They claim that the deceased was tortured in police custody leading to his death. Patilal Raidas, the deceased’s brother-in-law, said, “How can one commit suicide inside the police station with police personnel present. We suspect foul play and demand fair investigation into the case.”According to him, the police also conducted the postmortem of the deceased without informing the relatives. “Raidas had denied police allegations. Police tortured him to make him admit to the crime but he did not. Police also tortured many locals in relation to the murder incident,” said a local leader of Betahani.","Published at : November 20, 2020",Nepalgunj,Thakur Singh Tharu
Construction of Tinau-Danab corridor road begins in Rupandehi,"The construction of a corridor road along the Tinau and Danab rivers has begun in Rupandehi district for the sustainable management of the rivers and development of eco-tourism in the area.According to the Division Road Office in Butwal, 35 kms of the road stretch will be constructed along the Tinau river and 15 kilometres along the Danab river in the first phase. The two-lane road will be constructed on both sides of the rivers. “Two separate construction companies were awarded the contract to build an eight kilometre-road stretch along the Tinau and three kilometres along the Danab river two months ago,” said Krishna Bahadur Kunwar, the spokesperson at the division office. According to him, the government has a long-term plan to extend the Tinau-Danab corridor road to reach the Nepal-India border through the Marchawar area.Kirateshwor Mainachuli Abisa JV in September was awarded the contract to construct the eight-kilometre road along the Tinau river at the cost of Rs 524.6 million. The contractor has to complete the construction work within 36 months from the signing of the agreement. Similarly, Lama Baniya JV was awarded the contract to construct the three-kilometre corridor road along the Danab river at the cost of Rs 194.2 million with the deadline of 27 months. Kunwar said the construction companies have already started work on the road projects. “Survey work is underway from Zero Point in Butwal Sub-metropolis to Magarghat in Tilottama Municipality along the Tinau river and Belbas to Nayagaun along the Danab river. Construction works will begin once the survey results are out,” said Kunwar. Locals in the area will benefit from the construction of the Tinau-Danab corridor, as there are no motorable roads at present. “The road project will connect various settlements to the road networks. We are happy with the construction of the corridor road,” said Laxmi Prasad Shrestha, a local of Butwal-13.The Department of Roads had prepared a Detailed Project Report (DPR) two years ago for the construction of the Tinau-Danab corridor road. The report shows that it costs around Rs 4.13 billion to complete the construction of the 50 km-long corridor roads. As per the DPR, a retaining wall should be constructed along the banks of the rivers and two-lane roads with the width of seven metres should be constructed on each side of the rivers along with a three-metres-wide berth for plants.The federal government has allocated Rs 450 million for the construction of the Tinau-Danb corridor in the current fiscal year. According to Kunwar, the finance ministry will release additional funds as per the need of the project. “Discussions are underway to award contracts for the construction of other road sections as well. The project will be completed within three years if the required budget is released,” said Kunwar.The government had released Rs 450 million budget for the Tinau-Danab corridor road project in the last fiscal year as well. But the Division Road Office could not sign construction agreements due to eviction issues faced by people living on the banks of both the rivers. According to the office, around 700 houses and sheds should be removed for the construction of the 50km corridor roads along the rivers.“The contracts have been signed this year, as the local units—Butwal Sub-metropolis, Tilottam Municipality and Sainamaina Municipality—took responsibilities of dismantling the structures for the road construction,” said Jayalal Marasini, the chief at the Division Road Office in Butwal. The Tinau river, which originates from Palpa district, bifurcates at Tinau Bridge in Butwal, forming Danab river. The Tinau and Danab again merge when they reach Mayadevi Rural Municipality. Floods in the Tinau and Danab rivers wreak havoc in nearby settlements every monsoon.","Published at : November 20, 2020",Butwal,Amrita Anmol
Cooperative campaign empowers freed Kamalaris in western Tarai districts,"Former Kamalaris—indentured girl child labourers—have been running a number of cooperatives to help each other be financially independent. Many of them have initiated their own businesses thanks to the cooperatives that they own and manage.Manjita Chaudhary, the founding chairperson of the Freed Kamalari Development Forum, said the lives of many Tharu women who had worked as Kamalaris in the past have significantly changed now with the help of the cooperatives. “Most of the freed Kamalaris are involved in various economic activities and running their own businesses. There is no need for them to go to others asking for loans now. Their own cooperatives support them financially if they want to start businesses or learn income-generating activities,” said Manjita.The freed Kamalaris started a cooperative campaign after the government declared free Kamaiyas in July 2000. Forty-seven cooperatives have been established in five western Tarai districts of Dang, Banke, Bardiya, Kailali and Kanchanpur for the upliftment of the former Kamalaris’ economic status.According to the forum, a total of 12,532 former Kamalaris are members of various cooperatives in the western Tarai districts. Lawajuni Saving and Loan Cooperative had been established first in Lamahi of Dang 12 years ago.Many former Kamalaris, who had to work as domestic help to get two square meals a day and clothes, have started their own businesses by taking loans from the cooperatives. According to Manjita, most of the Tharu people used to take loans at high interest rates from local landlords and sent their daughters as Kamalari after failing to pay the money back.Hundreds of former Kamalaris took loans from their cooperatives and started various businesses like goat and pig rearing, vegetable farming, fresh houses, grocery stores, hardware shops and tailoring shops, among others. Bishnu Chaudhary, the central treasurer of the forum, said that the cooperatives provided loans to the members at low interest rates and encouraged them to initiate businesses of their own. According to her, a total of around Rs 88 million have been collected in the cooperatives. Nepal Youth Foundation, an organisation that has been working for the welfare of freed Kamalaris, provided an additional Rs 11.5 million as a revolving fund to the cooperatives.“As many as 1,278 freed Kamalaris took Rs 92.6 million loans to initiate their own businesses,” said Bishnu. According to her, the cooperatives also provide counselling to aspirants wanting to start their own businesses.Nirmala Chaudhary, the forum’s central secretary, said that a total 12,435 freed Kamalaris were present in Dang, Banke, Bardiya, Kailali and Kanchanpur districts alone. But only 4,791 of them have the identity cards issued by the government authority, she added.The umbrella organisation of the former Kamalaris have also underscored the need for education to uplift their life. The forum said a total of 166 freed Kamalaris with no families have been pursuing education in five different hostels. There are two such hostels in Dang and Kailai and one in Kanchanpur. According to Shanti Chaudhary, the forum’s central chairperson, 11 freed Kamalaris hold Master’s degrees, 171 others hold Bachelor’s degrees, 489 have passed secondary level and 97 lower secondary level.","Published at : November 18, 2020",Dang,Durgalal KC
Seven doctors at Butwal Covid-19 Special Hospital resign over allowance issue,"Seven medical officers at Covid-19 Special Hospital in Butwal, Rupandehi, have tendered their resignations after they did not get the promised risk allowance for months.The doctors deployed for the treatment of Covid-19 patients put in their papers on Wednesday. Five of the doctors have not received the risk allowance since July while two others have not received the amount since April. “How long can we work without receiving the allowance? The authority assured us the allowance but we never got them,” said one of the doctors. According to him, they had earlier submitted an application to the authorities concerned asking for the risk allowance. Dr Rajendra Prasad Khanal, the medical superintendent at Lumbini Provincial Hospital, said the medical officers deployed at the Covid-19 Special Hospital halted their works even though the provincial hospital had assured to provide them their due allowance after Tihar. According to Khanal, the provincial hospital had talked to the provincial Social Development Minister Sudarshan Baral after the doctors had submitted the application a few days ago.“We have managed their meals and hotel expenses for now. We will provide them with the allowance immediately after the social development ministry releases the fund,” said Khanal. The provincial government had announced risk allowance for the health workers deployed at Covid-19 special hospitals. Baral said the ministry had sent a written commitment to provide the allowance immediately after it was informed about the doctors’ protest. “The doctors should not halt their work in this situation. They should return to work soon,” he said. The Covid-19 Special Hospital at Butwal Thread Industry has a total of 107 staff including seven doctors and six health assistants. The 54-bed hospital was set up in April with an objective to provide treatment for the coronavirus patients of Rupandehi, Nawalparasi (West), Kapilvastu, Palpa, Gulmi and Arghakhanchi districts. Currently, 34 Covid-19 patients are receiving treatment there.","Published at : November 13, 2020",Butwal,Amrita Anmol
